,nmscale,darkline,baseline,p1
136,734.1713793,3924.0,0.0,3916
137,734.1836817000001,3926.0,0.0,3920
138,734.1957936000001,3923.0,0.0,3920
139,734.2077152,3924.0,0.0,3920
140,734.2194466,3924.0,0.0,3916
141,734.2309881,3924.0,0.0,3920
142,734.2423398,3926.0,0.0,3920
143,734.2535017999999,3923.0,0.0,3920
144,734.2644744,3924.0,0.0,3920
145,734.2752575000001,3923.0,0.0,3920
146,734.2858516,3925.0,0.0,3920
147,734.2962566000001,3925.0,0.0,3920
148,734.3064727000001,3923.0,0.0,3920
149,734.3165002000001,3924.0,0.0,3914
150,734.3263390999999,3922.0,0.0,3920
151,734.3359897,3922.0,0.0,3916
152,734.3454519999999,3924.0,0.0,3915
153,734.3547262999999,3926.0,0.0,3920
154,734.3638127,3926.0,0.0,3920
155,734.3727114,3922.0,0.0,3921
156,734.3814225,3925.0,0.0,3920
157,734.3899462,3924.0,0.0,3920
158,734.3982826,3924.0,0.0,3920
159,734.4064319,3924.0,0.0,3920
160,734.4143944,3923.0,0.0,3920
161,734.42217,3924.0,0.0,3920
162,734.429759,3921.0,0.0,3922
163,734.4371615,3926.0,0.0,3915
164,734.4443778,3924.0,0.0,3920
165,734.4514078999999,3923.0,0.0,3916
166,734.4582519999999,3922.0,0.0,3916
167,734.4649103999999,3922.0,0.0,3920
168,734.4713830000001,3924.0,0.0,3920
169,734.4776702,3924.0,0.0,3920
170,734.4837719999999,3923.0,0.0,3915
171,734.4896886,3924.0,0.0,3920
172,734.4954202,3922.0,0.0,3913
173,734.5009669,3924.0,0.0,3913
174,734.5063289,3923.0,0.0,3914
175,734.5115063999999,3924.0,0.0,3920
176,734.5164994,3920.0,0.0,3920
177,734.5213082,3925.0,0.0,3920
178,734.525933,3923.0,0.0,3920
179,734.5303738,3922.0,0.0,3920
180,734.5346308999999,3924.0,0.0,3920
181,734.5387044,3926.0,0.0,3915
182,734.5425944,3922.0,0.0,3920
183,734.5463011,3926.0,0.0,3920
184,734.5498247,3922.0,0.0,3914
185,734.5531654,3924.0,0.0,3920
186,734.5563232000001,3925.0,0.0,3920
187,734.5592982999999,3924.0,0.0,3920
188,734.562091,3922.0,0.0,3920
189,734.5647012999999,3924.0,0.0,3920
190,734.5671295,3924.0,0.0,3920
191,734.5693756000001,3924.0,0.0,3920
192,734.5714397999999,3922.0,0.0,3916
193,734.5733223,3923.0,0.0,3916
194,734.5750232999999,3925.0,0.0,3920
195,734.5765428999999,3924.0,0.0,3920
196,734.5778812000001,3924.0,0.0,3920
197,734.5790384,3923.0,0.0,3920
198,734.5800148,3927.0,0.0,3920
199,734.5808102999999,3926.0,0.0,3920
200,734.5814252,3922.0,0.0,3920
201,734.5818597,3922.0,0.0,3920
202,734.5821139,3922.0,0.0,3916
203,734.5821879,3924.0,0.0,3920
204,734.5820819,3924.0,0.0,3920
205,734.5817961,3924.0,0.0,3922
206,734.5813306,3922.0,0.0,3920
207,734.5806857000001,3927.0,0.0,3921
208,734.5798613,3922.0,0.0,3920
209,734.5788577000001,3924.0,0.0,3920
210,734.5776751,3924.0,0.0,3920
211,734.5763136,3924.0,0.0,3920
212,734.5747733,3922.0,0.0,3916
213,734.5730545,3924.0,0.0,3914
214,734.5711572,3923.0,0.0,3922
215,734.5690817000001,3927.0,0.0,3921
216,734.566828,3924.0,0.0,3916
217,734.5643964,3924.0,0.0,3920
218,734.561787,3922.0,0.0,3920
219,734.5589999,3924.0,0.0,3920
220,734.5560353,3926.0,0.0,3920
221,734.5528933999999,3925.0,0.0,3920
222,734.5495743,3921.0,0.0,3920
223,734.5460781,3927.0,0.0,3920
224,734.5424051,3922.0,0.0,3920
225,734.5385554,3923.0,0.0,3920
226,734.5345291,3924.0,0.0,3920
227,734.5303263999999,3922.0,0.0,3920
228,734.5259474,3924.0,0.0,3920
229,734.5213923,3924.0,0.0,3917
230,734.5166613,3924.0,0.0,3920
231,734.5117544999999,3924.0,0.0,3920
232,734.5066721,3923.0,0.0,3920
233,734.5014141,3923.0,0.0,3920
234,734.4959809,3927.0,0.0,3920
235,734.4903724,3926.0,0.0,3920
236,734.4845889999999,3921.0,0.0,3920
237,734.4786307,3924.0,0.0,3920
238,734.4724976,3923.0,0.0,3920
239,734.46619,3925.0,0.0,3916
240,734.459708,3923.0,0.0,3920
241,734.4530517999999,3928.0,0.0,3920
242,734.4462214,3924.0,0.0,3914
243,734.4392171000001,3924.0,0.0,3920
244,734.4320391,3922.0,0.0,3915
245,734.4246873,3924.0,0.0,3920
246,734.4171621,3924.0,0.0,3920
247,734.4094636,3923.0,0.0,3922
248,734.4015919,3925.0,0.0,3920
249,734.3935472000001,3924.0,0.0,3920
250,734.3853296,3925.0,0.0,3916
251,734.3769392999999,3925.0,0.0,3920
252,734.3683764,3920.0,0.0,3920
253,734.3596411,3926.0,0.0,3920
254,734.3507335,3922.0,0.0,3920
255,734.3416539,3926.0,0.0,3915
256,734.3324022999999,3923.0,0.0,3920
257,734.3229789,3925.0,0.0,3920
258,734.3133838,3920.0,0.0,3916
259,734.3036172999999,3924.0,0.0,3916
260,734.2936794,3924.0,0.0,3920
261,734.2835703,3925.0,0.0,3913
262,734.2732902,3925.0,0.0,3914
263,734.2628392000001,3926.0,0.0,3922
264,734.2522175,3922.0,0.0,3914
265,734.2414252,3926.0,0.0,3916
266,734.2304625,3926.0,0.0,3920
267,734.2193295,3924.0,0.0,3920
268,734.2080262999999,3922.0,0.0,3920
269,734.1965532,3927.0,0.0,3920
270,734.1849103,3924.0,0.0,3915
271,734.1730977000001,3925.0,0.0,3916
272,734.1611156,3927.0,0.0,3920
273,734.1489642000001,3926.0,0.0,3920
274,734.1366435,3926.0,0.0,3920
275,734.1241537000001,3922.0,0.0,3916
276,734.1114951000001,3922.0,0.0,3915
277,734.0986677,3923.0,0.0,3920
278,734.0856716,3924.0,0.0,3916
279,734.0725072,3924.0,0.0,3920
280,734.0591744,3920.0,0.0,3920
281,734.0456735,3926.0,0.0,3920
282,734.0320045,3922.0,0.0,3916
283,734.0181677,3922.0,0.0,3914
284,734.0041632,3923.0,0.0,3916
285,733.9899912000001,3927.0,0.0,3912
286,733.9756517999999,3924.0,0.0,3920
287,733.9611451000001,3924.0,0.0,3916
288,733.9464713,3926.0,0.0,3914
289,733.9316306,3922.0,0.0,3920
290,733.9166230000001,3924.0,0.0,3914
291,733.9014488,3923.0,0.0,3920
