,baseline,darkline,nmscale,p1
188,0.0,3916.0,344.99539669645276,3914
189,0.0,3917.0,345.12835093419983,3914
190,0.0,3917.0,345.2613051719469,3913
191,0.0,3916.0,345.39425940969403,3916
192,0.0,3917.0,345.5272136474411,3913
193,0.0,3916.0,345.6601678851882,3913
194,0.0,3916.0,345.7931221229353,3913
195,0.0,3916.0,345.9260763606824,3913
196,0.0,3915.0,346.05903059842944,3914
197,0.0,3917.0,346.1919848361766,3913
198,0.0,3916.0,346.32493907392364,3914
199,0.0,3916.0,346.4578933116707,3914
200,0.0,3916.0,346.59084754941784,3913
201,0.0,3919.0,346.7238017871649,3916
202,0.0,3914.0,346.856756024912,3911
203,0.0,3916.0,346.98971026265906,3914
204,0.0,3916.0,347.1226645004062,3914
205,0.0,3918.0,347.25561873815326,3914
206,0.0,3916.0,347.38857297590033,3913
207,0.0,3917.0,347.52152721364746,3914
208,0.0,3916.0,347.65448145139453,3914
209,0.0,3917.0,347.7874356891416,3914
210,0.0,3916.0,347.92038992688873,3913
211,0.0,3918.0,348.0533441646358,3914
212,0.0,3915.0,348.1862984023829,3913
213,0.0,3916.0,348.31925264013,3913
214,0.0,3917.0,348.4522068778771,3913
215,0.0,3917.0,348.58516111562415,3914
216,0.0,3916.0,348.7181153533712,3913
217,0.0,3917.0,348.85106959111835,3914
218,0.0,3917.0,348.9840238288654,3913
219,0.0,3916.0,349.1169780666125,3914
220,0.0,3918.0,349.2499323043596,3914
221,0.0,3917.0,349.3828865421067,3915
222,0.0,3916.0,349.51584077985376,3913
223,0.0,3917.0,349.6487950176009,3914
224,0.0,3917.0,349.78174925534796,3913
225,0.0,3917.0,349.91470349309503,3914
226,0.0,3917.0,350.04765773084216,3915
227,0.0,3916.0,350.18061196858923,3913
228,0.0,3916.0,350.3135662063363,3915
229,0.0,3916.0,350.4465204440834,3914
230,0.0,3916.0,350.5794746818305,3914
231,0.0,3916.0,350.7124289195776,3914
232,0.0,3916.0,350.84538315732465,3912
233,0.0,3917.0,350.9783373950718,3914
234,0.0,3916.0,351.11129163281885,3913
235,0.0,3917.0,351.2442458705659,3915
236,0.0,3917.0,351.37720010831305,3914
237,0.0,3917.0,351.5101543460601,3915
238,0.0,3917.0,351.6431085838072,3913
239,0.0,3915.0,351.7760628215543,3913
240,0.0,3916.0,351.9090170593014,3912
241,0.0,3916.0,352.04197129704846,3913
242,0.0,3916.0,352.17492553479553,3913
243,0.0,3917.0,352.30787977254266,3914
244,0.0,3916.0,352.44083401028973,3913
245,0.0,3916.0,352.5737882480368,3913
246,0.0,3915.0,352.70674248578393,3913
247,0.0,3917.0,352.839696723531,3914
248,0.0,3915.0,352.9726509612781,3914
249,0.0,3917.0,353.1056051990252,3915
250,0.0,3917.0,353.2385594367723,3913
251,0.0,3918.0,353.37151367451935,3916
252,0.0,3915.0,353.5044679122665,3911
253,0.0,3917.0,353.63742215001355,3913
254,0.0,3916.0,353.7703763877606,3912
255,0.0,3918.0,353.9033306255077,3914
256,0.0,3916.0,354.0362848632548,3913
257,0.0,3917.0,354.1692391010019,3914
258,0.0,3917.0,354.30219333874896,3913
259,0.0,3916.0,354.4351475764961,3913
260,0.0,3915.0,354.56810181424316,3912
261,0.0,3916.0,354.70105605199024,3914
262,0.0,3916.0,354.83401028973736,3914
263,0.0,3916.0,354.96696452748444,3914
264,0.0,3917.0,355.0999187652315,3914
265,0.0,3917.0,355.23287300297864,3914
266,0.0,3917.0,355.3658272407257,3912
267,0.0,3918.0,355.4987814784728,3914
268,0.0,3917.0,355.63173571621985,3914
269,0.0,3917.0,355.764689953967,3914
270,0.0,3917.0,355.89764419171405,3913
271,0.0,3917.0,356.0305984294611,3913
272,0.0,3915.0,356.16355266720825,3914
273,0.0,3917.0,356.2965069049553,3913
274,0.0,3916.0,356.4294611427024,3914
275,0.0,3917.0,356.5624153804495,3915
276,0.0,3916.0,356.6953696181966,3916
277,0.0,3917.0,356.82832385594367,3912
278,0.0,3916.0,356.9612780936908,3914
279,0.0,3917.0,357.09423233143787,3913
280,0.0,3916.0,357.22718656918494,3912
281,0.0,3916.0,357.360140806932,3913
282,0.0,3916.0,357.49309504467914,3913
283,0.0,3918.0,357.6260492824262,3914
284,0.0,3915.0,357.7590035201733,3913
285,0.0,3917.0,357.8919577579204,3914
286,0.0,3916.0,358.0249119956675,3912
287,0.0,3917.0,358.15786623341455,3913
288,0.0,3917.0,358.2908204711617,3913
289,0.0,3918.0,358.42377470890875,3913
290,0.0,3916.0,358.5567289466558,3913
291,0.0,3917.0,358.68968318440295,3914
292,0.0,3916.0,358.82263742215,3913
293,0.0,3916.0,358.9555916598971,3913
294,0.0,3917.0,359.08854589764417,3913
295,0.0,3917.0,359.2215001353913,3913
296,0.0,3916.0,359.35445437313837,3911
297,0.0,3915.0,359.48740861088544,3912
298,0.0,3916.0,359.62036284863257,3913
299,0.0,3917.0,359.75331708637964,3913
300,0.0,3916.0,359.8862713241267,3913
301,0.0,3920.0,360.01922556187384,3917
302,0.0,3915.0,360.1521797996209,3910
303,0.0,3916.0,360.285134037368,3913
304,0.0,3916.0,360.4180882751151,3912
305,0.0,3918.0,360.5510425128622,3913
306,0.0,3917.0,360.68399675060925,3912
307,0.0,3916.0,360.8169509883563,3913
308,0.0,3916.0,360.94990522610345,3911
309,0.0,3917.0,361.0828594638505,3912
310,0.0,3916.0,361.2158137015976,3911
311,0.0,3916.0,361.3487679393447,3914
312,0.0,3916.0,361.4817221770918,3912
313,0.0,3917.0,361.61467641483887,3914
314,0.0,3916.0,361.747630652586,3912
315,0.0,3917.0,361.88058489033307,3913
316,0.0,3916.0,362.01353912808014,3912
317,0.0,3917.0,362.14649336582727,3913
318,0.0,3916.0,362.27944760357434,3911
319,0.0,3918.0,362.4124018413214,3912
320,0.0,3916.0,362.5453560790685,3912
321,0.0,3917.0,362.6783103168156,3913
322,0.0,3916.0,362.8112645545627,3914
323,0.0,3917.0,362.94421879230975,3913
324,0.0,3916.0,363.0771730300569,3913
325,0.0,3916.0,363.21012726780395,3913
326,0.0,3917.0,363.343081505551,3915
327,0.0,3917.0,363.47603574329816,3912
328,0.0,3915.0,363.6089899810452,3913
329,0.0,3917.0,363.7419442187923,3913
330,0.0,3917.0,363.8748984565394,3912
331,0.0,3916.0,364.0078526942865,3914
332,0.0,3916.0,364.14080693203357,3913
333,0.0,3916.0,364.27376116978064,3914
334,0.0,3916.0,364.40671540752777,3913
335,0.0,3917.0,364.53966964527484,3911
336,0.0,3916.0,364.6726238830219,3912
337,0.0,3917.0,364.80557812076904,3912
338,0.0,3916.0,364.9385323585161,3912
339,0.0,3917.0,365.0714865962632,3914
340,0.0,3917.0,365.2044408340103,3913
341,0.0,3917.0,365.3373950717574,3914
342,0.0,3916.0,365.47034930950446,3913
343,0.0,3916.0,365.6033035472516,3914
344,0.0,3916.0,365.73625778499866,3912
345,0.0,3916.0,365.8692120227457,3912
346,0.0,3917.0,366.0021662604928,3913
347,0.0,3917.0,366.1351204982399,3914
348,0.0,3916.0,366.268074735987,3913
349,0.0,3917.0,366.40102897373407,3912
350,0.0,3916.0,366.5339832114812,3912
351,0.0,3919.0,366.66693744922827,3914
352,0.0,3915.0,366.79989168697534,3910
353,0.0,3917.0,366.93284592472247,3913
354,0.0,3918.0,367.06580016246954,3911
355,0.0,3917.0,367.1987544002166,3912
356,0.0,3917.0,367.33170863796374,3912
357,0.0,3917.0,367.4646628757108,3913
358,0.0,3916.0,367.5976171134579,3913
359,0.0,3917.0,367.73057135120496,3913
360,0.0,3917.0,367.8635255889521,3912
361,0.0,3917.0,367.99647982669916,3913
362,0.0,3916.0,368.12943406444623,3910
363,0.0,3917.0,368.26238830219336,3914
364,0.0,3916.0,368.39534253994043,3914
365,0.0,3917.0,368.5282967776875,3913
366,0.0,3916.0,368.66125101543463,3912
367,0.0,3917.0,368.7942052531817,3914
368,0.0,3916.0,368.9271594909288,3913
369,0.0,3916.0,369.0601137286759,3912
370,0.0,3917.0,369.193067966423,3911
371,0.0,3918.0,369.32602220417004,3912
372,0.0,3917.0,369.4589764419171,3912
373,0.0,3917.0,369.59193067966424,3913
374,0.0,3917.0,369.7248849174113,3912
375,0.0,3916.0,369.8578391551584,3913
376,0.0,3916.0,369.9907933929055,3914
377,0.0,3917.0,370.1237476306526,3911
378,0.0,3917.0,370.25670186839966,3912
379,0.0,3916.0,370.3896561061468,3913
380,0.0,3917.0,370.52261034389386,3912
381,0.0,3917.0,370.65556458164093,3912
382,0.0,3917.0,370.78851881938806,3911
383,0.0,3917.0,370.92147305713513,3913
384,0.0,3916.0,371.0544272948822,3912
385,0.0,3917.0,371.1873815326293,3913
386,0.0,3917.0,371.3203357703764,3912
387,0.0,3916.0,371.4532900081235,3914
388,0.0,3916.0,371.58624424587055,3912
389,0.0,3918.0,371.7191984836177,3913
390,0.0,3915.0,371.85215272136475,3911
391,0.0,3916.0,371.9851069591118,3913
392,0.0,3917.0,372.11806119685895,3911
393,0.0,3918.0,372.251015434606,3913
394,0.0,3916.0,372.3839696723531,3911
395,0.0,3917.0,372.5169239101002,3912
396,0.0,3916.0,372.6498781478473,3912
397,0.0,3918.0,372.78283238559436,3912
398,0.0,3916.0,372.91578662334143,3912
399,0.0,3917.0,373.04874086108856,3913
400,0.0,3917.0,373.18169509883563,3911
401,0.0,3918.0,373.3146493365827,3915
402,0.0,3915.0,373.44760357432983,3910
403,0.0,3917.0,373.5805578120769,3914
404,0.0,3916.0,373.713512049824,3912
405,0.0,3917.0,373.8464662875711,3913
406,0.0,3915.0,373.9794205253182,3912
407,0.0,3917.0,374.11237476306525,3913
408,0.0,3915.0,374.2453290008124,3912
409,0.0,3917.0,374.37828323855945,3911
410,0.0,3916.0,374.5112374763065,3911
411,0.0,3917.0,374.6441917140536,3913
412,0.0,3916.0,374.7771459518007,3911
413,0.0,3917.0,374.9101001895478,3912
414,0.0,3917.0,375.04305442729486,3912
415,0.0,3917.0,375.176008665042,3913
416,0.0,3915.0,375.30896290278906,3912
417,0.0,3917.0,375.44191714053613,3912
418,0.0,3916.0,375.57487137828326,3910
419,0.0,3918.0,375.70782561603033,3912
420,0.0,3915.0,375.8407798537774,3911
421,0.0,3916.0,375.97373409152453,3912
422,0.0,3916.0,376.1066883292716,3911
423,0.0,3916.0,376.2396425670187,3911
424,0.0,3916.0,376.37259680476575,3911
425,0.0,3916.0,376.5055510425129,3912
426,0.0,3917.0,376.63850528025995,3912
427,0.0,3916.0,376.771459518007,3908
428,0.0,3917.0,376.90441375575415,3912
429,0.0,3917.0,377.0373679935012,3911
430,0.0,3916.0,377.1703222312483,3911
431,0.0,3917.0,377.3032764689954,3912
432,0.0,3917.0,377.4362307067425,3911
433,0.0,3916.0,377.56918494448956,3912
434,0.0,3917.0,377.7021391822367,3912
435,0.0,3917.0,377.83509341998376,3910
436,0.0,3916.0,377.96804765773084,3910
437,0.0,3917.0,378.1010018954779,3910
438,0.0,3915.0,378.23395613322504,3911
439,0.0,3917.0,378.3669103709721,3911
440,0.0,3917.0,378.4998646087192,3911
441,0.0,3918.0,378.6328188464663,3912
442,0.0,3916.0,378.7657730842134,3910
443,0.0,3916.0,378.89872732196045,3912
444,0.0,3917.0,379.0316815597076,3910
445,0.0,3917.0,379.16463579745465,3910
446,0.0,3916.0,379.2975900352017,3911
447,0.0,3916.0,379.43054427294885,3910
448,0.0,3917.0,379.5634985106959,3911
449,0.0,3917.0,379.696452748443,3910
450,0.0,3916.0,379.82940698619007,3910
451,0.0,3919.0,379.9623612239372,3913
452,0.0,3913.0,380.09531546168427,3907
453,0.0,3916.0,380.22826969943134,3910
454,0.0,3916.0,380.36122393717847,3910
455,0.0,3916.0,380.49417817492554,3910
456,0.0,3916.0,380.6271324126726,3911
457,0.0,3918.0,380.76008665041974,3910
458,0.0,3917.0,380.8930408881668,3911
459,0.0,3918.0,381.0259951259139,3911
460,0.0,3916.0,381.158949363661,3910
461,0.0,3918.0,381.2919036014081,3911
462,0.0,3917.0,381.42485783915515,3912
463,0.0,3918.0,381.5578120769022,3912
464,0.0,3917.0,381.69076631464935,3911
465,0.0,3917.0,381.8237205523964,3910
466,0.0,3917.0,381.9566747901435,3910
467,0.0,3917.0,382.0896290278906,3911
468,0.0,3916.0,382.2225832656377,3909
469,0.0,3917.0,382.35553750338477,3911
470,0.0,3917.0,382.4884917411319,3911
471,0.0,3918.0,382.62144597887897,3911
472,0.0,3916.0,382.75440021662604,3909
473,0.0,3917.0,382.88735445437317,3911
474,0.0,3917.0,383.02030869212024,3910
475,0.0,3917.0,383.1532629298673,3910
476,0.0,3917.0,383.2862171676144,3913
477,0.0,3917.0,383.4191714053615,3908
478,0.0,3916.0,383.5521256431086,3909
479,0.0,3916.0,383.68507988085565,3911
480,0.0,3916.0,383.8180341186028,3909
481,0.0,3917.0,383.95098835634985,3912
482,0.0,3917.0,384.0839425940969,3910
483,0.0,3918.0,384.216896831844,3910
484,0.0,3916.0,384.3498510695911,3909
485,0.0,3918.0,384.4828053073382,3911
486,0.0,3916.0,384.6157595450853,3909
487,0.0,3918.0,384.7487137828324,3909
488,0.0,3917.0,384.88166802057947,3909
489,0.0,3918.0,385.01462225832654,3911
490,0.0,3917.0,385.14757649607367,3910
491,0.0,3917.0,385.28053073382074,3911
492,0.0,3916.0,385.4134849715678,3909
493,0.0,3917.0,385.54643920931494,3911
494,0.0,3916.0,385.679393447062,3910
495,0.0,3916.0,385.8123476848091,3910
496,0.0,3918.0,385.94530192255615,3910
497,0.0,3917.0,386.0782561603033,3909
498,0.0,3916.0,386.21121039805035,3909
499,0.0,3917.0,386.3441646357975,3911
500,0.0,3917.0,386.47711887354455,3909
501,0.0,3920.0,386.6100731112916,3911
502,0.0,3914.0,386.7430273490387,3908
503,0.0,3917.0,386.8759815867858,3910
504,0.0,3917.0,387.0089358245329,3909
505,0.0,3916.0,387.14189006227997,3909
506,0.0,3916.0,387.2748443000271,3909
507,0.0,3917.0,387.40779853777417,3910
508,0.0,3915.0,387.54075277552124,3907
509,0.0,3917.0,387.6737070132683,3910
510,0.0,3917.0,387.80666125101544,3908
511,0.0,3916.0,387.9396154887625,3909
512,0.0,3916.0,388.07256972650964,3909
513,0.0,3916.0,388.2055239642567,3909
514,0.0,3916.0,388.3384782020038,3909
515,0.0,3917.0,388.47143243975086,3910
516,0.0,3915.0,388.604386677498,3909
517,0.0,3916.0,388.73734091524506,3909
518,0.0,3915.0,388.8702951529921,3908
519,0.0,3916.0,389.00324939073926,3908
520,0.0,3916.0,389.1362036284863,3907
521,0.0,3915.0,389.2691578662334,3909
522,0.0,3915.0,389.40211210398047,3909
523,0.0,3916.0,389.5350663417276,3909
524,0.0,3915.0,389.66802057947467,3909
525,0.0,3917.0,389.8009748172218,3910
526,0.0,3915.0,389.93392905496887,3910
527,0.0,3918.0,390.06688329271594,3908
528,0.0,3916.0,390.199837530463,3908
529,0.0,3918.0,390.33279176821014,3908
530,0.0,3916.0,390.4657460059572,3908
531,0.0,3915.0,390.5987002437043,3908
532,0.0,3916.0,390.7316544814514,3908
533,0.0,3917.0,390.8646087191985,3910
534,0.0,3917.0,390.99756295694556,3908
535,0.0,3918.0,391.13051719469263,3908
536,0.0,3916.0,391.26347143243976,3908
537,0.0,3917.0,391.39642567018683,3908
538,0.0,3914.0,391.52937990793396,3908
539,0.0,3916.0,391.66233414568103,3908
540,0.0,3916.0,391.7952883834281,3909
541,0.0,3917.0,391.9282426211752,3908
542,0.0,3915.0,392.0611968589223,3908
543,0.0,3917.0,392.1941510966694,3908
544,0.0,3916.0,392.32710533441644,3907
545,0.0,3917.0,392.4600595721636,3909
546,0.0,3917.0,392.59301380991064,3907
547,0.0,3917.0,392.7259680476577,3908
548,0.0,3916.0,392.8589222854048,3907
549,0.0,3918.0,392.9918765231519,3907
550,0.0,3916.0,393.124830760899,3906
551,0.0,3918.0,393.2577849986461,3911
552,0.0,3914.0,393.3907392363932,3904
553,0.0,3915.0,393.52369347414026,3906
554,0.0,3915.0,393.65664771188733,3907
555,0.0,3919.0,393.78960194963446,3906
556,0.0,3915.0,393.92255618738153,3906
557,0.0,3917.0,394.0555104251286,3906
558,0.0,3916.0,394.18846466287573,3906
559,0.0,3918.0,394.3214189006228,3909
560,0.0,3917.0,394.4543731383699,3906
561,0.0,3917.0,394.58732737611695,3907
562,0.0,3915.0,394.7202816138641,3906
563,0.0,3917.0,394.85323585161115,3906
564,0.0,3915.0,394.9861900893583,3906
565,0.0,3917.0,395.11914432710535,3908
566,0.0,3917.0,395.2520985648524,3905
567,0.0,3918.0,395.3850528025995,3907
568,0.0,3917.0,395.5180070403466,3905
569,0.0,3916.0,395.6509612780937,3905
570,0.0,3917.0,395.78391551584076,3904
571,0.0,3917.0,395.9168697535879,3906
572,0.0,3916.0,396.04982399133496,3906
573,0.0,3918.0,396.18277822908203,3905
574,0.0,3917.0,396.3157324668291,3905
575,0.0,3917.0,396.44868670457623,3906
576,0.0,3916.0,396.5816409423233,3908
577,0.0,3916.0,396.71459518007043,3903
578,0.0,3916.0,396.8475494178175,3904
579,0.0,3916.0,396.9805036555646,3905
580,0.0,3917.0,397.11345789331165,3905
581,0.0,3917.0,397.2464121310588,3906
582,0.0,3916.0,397.37936636880585,3904
583,0.0,3917.0,397.5123206065529,3904
584,0.0,3915.0,397.64527484430005,3905
585,0.0,3917.0,397.7782290820471,3904
586,0.0,3916.0,397.9111833197942,3904
587,0.0,3917.0,398.04413755754126,3905
588,0.0,3917.0,398.1770917952884,3905
589,0.0,3916.0,398.31004603303546,3905
590,0.0,3916.0,398.4430002707826,3904
591,0.0,3916.0,398.57595450852966,3903
592,0.0,3915.0,398.70890874627673,3903
593,0.0,3917.0,398.8418629840238,3905
594,0.0,3916.0,398.97481722177093,3903
595,0.0,3918.0,399.107771459518,3903
596,0.0,3916.0,399.2407256972651,3903
597,0.0,3917.0,399.3736799350122,3903
598,0.0,3916.0,399.5066341727593,3902
599,0.0,3916.0,399.63958841050635,3903
600,0.0,3916.0,399.7725426482534,3903
601,0.0,3921.0,399.90549688600055,3905
602,0.0,3913.0,400.0384511237476,3899
603,0.0,3917.0,400.17140536149475,3902
604,0.0,3916.0,400.3043595992418,3901
605,0.0,3917.0,400.4373138369889,3902
606,0.0,3916.0,400.57026807473596,3900
607,0.0,3917.0,400.7032223124831,3903
608,0.0,3916.0,400.83617655023016,3902
609,0.0,3917.0,400.96913078797724,3900
610,0.0,3916.0,401.10208502572436,3901
611,0.0,3917.0,401.23503926347144,3900
612,0.0,3916.0,401.3679935012185,3899
613,0.0,3917.0,401.5009477389656,3902
614,0.0,3916.0,401.6339019767127,3902
615,0.0,3917.0,401.7668562144598,3900
616,0.0,3915.0,401.8998104522069,3898
617,0.0,3917.0,402.032764689954,3898
618,0.0,3915.0,402.16571892770105,3897
619,0.0,3917.0,402.2986731654481,3898
620,0.0,3915.0,402.43162740319525,3898
621,0.0,3916.0,402.5645816409423,3897
622,0.0,3916.0,402.6975358786894,3899
623,0.0,3917.0,402.8304901164365,3897
624,0.0,3915.0,402.9634443541836,3897
625,0.0,3917.0,403.09639859193067,3897
626,0.0,3917.0,403.22935282967774,3898
627,0.0,3917.0,403.36230706742487,3894
628,0.0,3917.0,403.49526130517194,3896
629,0.0,3917.0,403.62821554291907,3896
630,0.0,3916.0,403.76116978066614,3895
631,0.0,3917.0,403.8941240184132,3896
632,0.0,3916.0,404.0270782561603,3896
633,0.0,3916.0,404.1600324939074,3894
634,0.0,3916.0,404.2929867316545,3893
635,0.0,3917.0,404.42594096940155,3893
